"airport_name","city","country","IATA","ICAO","region"
"Ilheus","Ilheus","Brazil","IOS","SBIL","America/Fortaleza"
"Usiminas","Ipatinga","Brazil","IPN","SBIP","America/Sao_Paulo"
"Hidroeletrica","Itumbiara","Brazil",NA,"SBIT","America/Sao_Paulo"
"Prefeito Renato Moreira","Imperatriz","Brazil","IMP","SBIZ","America/Fortaleza"
"Julio Cesar","Belem","Brazil",NA,"SBJC","America/Boa_Vista"
"Francisco De Assis","Juiz De Fora","Brazil","JDF","SBJF","America/Sao_Paulo"
"Presidente Castro Pinto","Joao Pessoa","Brazil","JPA","SBJP","America/Fortaleza"
"Lauro Carneiro De Loyola","Joinville","Brazil","JOI","SBJV","America/Sao_Paulo"
"Presidente Joao Suassuna","Campina Grande","Brazil","CPV","SBKG","America/Fortaleza"
"Viracopos","Campinas","Brazil","VCP","SBKP","America/Sao_Paulo"
"Lages","Lajes","Brazil",NA,"SBLJ","America/Sao_Paulo"
"Lins","Lins","Brazil","LIP","SBLN","America/Sao_Paulo"
"Londrina","Londrina","Brazil","LDB","SBLO","America/Sao_Paulo"
"Bom Jesus Da Lapa","Bom Jesus Da Lapa","Brazil","LAZ","SBLP","America/Fortaleza"
"Lagoa Santa","Lagoa Santa","Brazil",NA,"SBLS","America/Sao_Paulo"
"Maraba","Maraba","Brazil","MAB","SBMA","America/Boa_Vista"
"Monte Dourado","Almeirim","Brazil",NA,"SBMD","America/Boa_Vista"
"Regional De Maringa Silvio Name Junior","Maringa","Brazil","MGF","SBMG","America/Sao_Paulo"
"Mario Ribeiro","Montes Claros","Brazil","MOC","SBMK","America/Sao_Paulo"
"Grand Marais Cook County Airport","Grand Marais","United States","GRM","KCKC","America/Chicago"
"Ponta Pelada","Manaus","Brazil",NA,"SBMN","America/Boa_Vista"
"Zumbi Dos Palmares","Maceio","Brazil","MCZ","SBMO","America/Fortaleza"
"Macapa","Macapa","Brazil","MCP","SBMQ","America/Fortaleza"
"Dix Sept Rosado","Mocord","Brazil",NA,"SBMS","America/Fortaleza"
"Marte","Sao Paulo","Brazil",NA,"SBMT","America/Sao_Paulo"
"Manicore","Manicore","Brazil","MNX","SBMY","America/Boa_Vista"
"Ministro Victor Konder Intl","Navegantes","Brazil","NVT","SBNF","America/Sao_Paulo"
"Santo Angelo","Santo Angelo","Brazil","GEL","SBNM","America/Sao_Paulo"
"Augusto Severo","Natal","Brazil","NAT","SBNT","America/Fortaleza"
"Oiapoque","Oioiapoque","Brazil",NA,"SBOI","America/Fortaleza"
"Salgado Filho","Porto Alegre","Brazil","POA","SBPA","America/Sao_Paulo"
"Prefeito Doutor Joao Silva Filho","Parnaiba","Brazil",NA,"SBPB","America/Fortaleza"
"Pocos De Caldas","Pocos De Caldas","Brazil","POO","SBPC","America/Sao_Paulo"
"Lauro Kurtz","Passo Fundo","Brazil","PFB","SBPF","America/Sao_Paulo"
